version	count	date
v0.10.0	0	2015-02-03 08:30:13 -0800
v0.10.1	0	2015-02-05 14:15:29 -0800
v0.11.0	0	2015-02-17 21:15:37 -0800
v0.12.0	0	2015-03-02 20:04:24 -0800
v0.12.1	0	2015-03-11 14:00:17 -0700
v0.12.2	0	2015-03-16 16:18:46 -0700
v0.13.0	0	2015-03-16 16:31:03 -0700
v0.13.1	0	2015-03-17 07:58:11 -0700
v0.13.1-dev	0	2015-03-16 16:37:50 -0700
v0.13.2	0	2015-03-18 18:15:53 -0700
v0.14.0	0	2015-03-30 11:02:57 -0700
v0.14.1	0	2015-04-01 14:51:14 -0700
v0.14.2	0	2015-04-07 20:03:29 -0700
v0.15.0	0	2015-04-13 14:08:45 -0700
v0.16.0	0	2015-04-28 21:20:12 -0700
v0.16.1	0	2015-05-01 16:33:40 -0700
v0.16.2	0	2015-05-04 10:42:44 -0700
v0.17.0	0	2015-05-11 21:43:34 -0700
v0.17.1	0	2015-05-21 10:19:06 -0700
v0.18.0	0	2015-05-29 09:41:41 -0700
v0.18.1	0	2015-06-02 20:30:14 -0700
v0.18.2	0	2015-06-08 13:08:10 -0700
v0.19.0	0	2015-06-10 09:25:31 -0700
v0.19.1	0	2015-06-18 23:06:41 -0700
v0.19.2	0	2015-06-22 10:43:25 -0700
v0.19.3	0	2015-06-22 10:46:14 -0700
v0.2	0	2014-09-08 16:21:36 -0700
v0.20.0	0	2015-06-25 20:08:58 -0700
v0.20.1	0	2015-06-29 14:01:25 -0700
v0.20.2	0	2015-06-30 11:03:55 -0700
v0.21.0	0	2015-07-07 14:56:55 -0700
v0.21.1	0	2015-07-08 18:52:51 -0700
v0.21.2	0	2015-07-10 17:06:22 -0700
v0.21.3	0	2015-07-15 17:10:45 -0700
v0.21.4	0	2015-07-16 21:41:49 -0700
v0.3	0	2014-09-19 10:11:03 -0700
v0.4	0	2014-10-14 16:46:22 -0700
v0.4.1	0	2014-10-17 15:08:05 -0700
v0.4.2	0	2014-10-29 10:05:09 -0700
v0.4.3	0	2014-10-30 16:26:56 -0700
v0.4.4	0	2014-11-19 12:36:30 -0800
v0.5	0	2014-11-17 15:01:09 -0800
v0.5.1	0	2014-11-18 13:44:41 -0800
v0.5.2	0	2014-11-19 12:26:47 -0800
v0.5.3	0	2014-11-24 12:33:58 -0800
v0.5.4	0	2014-11-25 15:06:17 -0800
v0.5.5	0	2014-12-02 12:53:44 -0800
v0.5.6	0	2014-12-12 12:30:37 -0800
v0.6.0	0	2014-12-01 16:26:48 -0800
v0.6.1	0	2014-12-09 10:22:40 -0800
v0.6.2	0	2014-12-12 14:48:08 -0800
v0.7.0	0	2014-12-15 16:57:39 -0800
v0.7.1	0	2014-12-22 16:12:14 -0800
v0.7.2	0	2014-12-29 11:05:11 -0800
v0.7.3	0	2015-01-08 13:54:33 -0800
v0.7.4	0	2015-01-09 10:02:16 -0800
v0.8.0	0	2015-01-07 11:22:53 -0800
v0.8.1	0	2015-01-12 22:12:58 -0800
v0.8.2	0	2015-01-20 15:55:53 -0800
v0.8.4	0	2015-01-28 16:39:04 -0800
v0.9.0	0	2015-01-20 19:50:24 -0800
v0.9.1	0	2015-01-23 15:18:08 -0800
v0.9.2	0	2015-01-27 21:01:01 -0800
v0.9.3	0	2015-01-29 18:17:03 -0800
v1.0.0	0	2015-07-10 21:01:34 -0700
v1.0.1	0	2015-07-17 15:47:54 -0700
v1.0.2	0	2015-07-31 21:21:58 -0700
v1.0.3	0	2015-08-06 21:56:59 -0700
v1.0.4	0	2015-08-25 14:08:30 -0700
v1.0.5	0	2015-08-31 15:57:19 -0700
v1.0.6	0	2015-09-10 16:10:32 -0700
v1.0.7	0	2015-10-26 18:09:24 -0700
v1.0.8-beta	0	2015-10-26 18:09:24 -0700
v1.1.0	0	2015-09-25 16:40:56 -0700
v1.1.0-alpha.0	0	2015-07-10 21:13:41 -0700
v1.1.0-alpha.1	0	2015-08-28 14:52:29 -0700
v1.1.0-beta	0	2015-09-25 16:40:56 -0700
v1.1.1	0	2015-11-09 07:56:45 -0800
v1.1.1-beta	0	2015-09-25 16:40:56 -0700
v1.1.1-beta.0	0	2015-09-25 16:40:56 -0700
v1.1.1-beta.1	0	2015-11-03 11:22:48 -0800
v1.1.2	0	2015-11-18 16:12:48 -0800
v1.1.2-beta.0	0	2015-11-09 07:56:47 -0800
v1.1.3	0	2015-12-07 10:19:26 -0800
v1.1.3-beta.0	0	2015-11-18 16:12:50 -0800
v1.1.4	0	2016-01-08 15:52:52 -0800
v1.1.4-beta.0	0	2015-12-07 10:21:33 -0800
v1.1.5	0	2016-01-22 16:52:53 -0800
v1.1.5-beta.0	0	2016-01-08 15:52:54 -0800
v1.1.6	0	2016-01-27 12:12:56 -0800
v1.1.6-beta.0	0	2016-01-22 16:52:55 -0800
v1.1.7	0	2016-01-27 14:06:28 -0800
v1.1.7-beta.0	0	2016-01-27 12:12:58 -0800
v1.1.8	0	2016-02-23 10:21:07 -0800
v1.1.8-beta.0	0	2016-01-27 14:06:30 -0800
v1.1.9-beta.0	0	2016-02-23 10:21:13 -0800
v1.10.0	0	2018-03-23 15:34:25 -0700
